"C3H8",1415,1338
"C3H8",1104,1054
"C3H8",957,922
"CH3CCH",3503,3334
"CH3CCH",3083,2918
"CH3CCH",2256,2124
"CH3CCH",1468,1382
"CH3CCH",959,931
"CH3CCH",3161,3008
"CH3CCH",1535,1452
"CH3CCH",1081,1053
"CH3CCH",551,633
"CH3CCH",275,328
"CH3CH2Cl",3166,2967
"CH3CH2Cl",3133,2946
"CH3CH2Cl",3086,2881
"CH3CH2Cl",1554,1463
"CH3CH2Cl",1546,1448
"CH3CH2Cl",1472,1385
"CH3CH2Cl",1386,1289
"CH3CH2Cl",1128,1081
"CH3CH2Cl",1028,974
"CH3CH2Cl",718,677
"CH3CH2Cl",343,336
"CH3CH2Cl",3198,3014
"CH3CH2Cl",3176,2986
"CH3CH2Cl",1539,1448
"CH3CH2Cl",1321,1251
"CH3CH2Cl",1130,974
"CH3CH2Cl",811,786
"CH3CH2Cl",275,251
"CH2CHCl",3298,3121
"CH2CHCl",3262,3086
"CH2CHCl",3205,3030
"CH2CHCl",1717,1608
"CH2CHCl",1450,1368
"CH2CHCl",1348,1279
"CH2CHCl",1078,1030
"CH2CHCl",751,720
"CH2CHCl",407,395
"CH2CHCl",988,941
"CH2CHCl",924,896
"CH2CHCl",637,620
"CH2CHF",3317,3115
"CH2CHF",3257,3080
"CH2CHF",3220,3052
"CH2CHF",1769,1654
"CH2CHF",1460,1380
"CH2CHF",1363,1306
"CH2CHF",1208,1156
"CH2CHF",966,929
"CH2CHF",487,483
"CH2CHF",970,940
"CH2CHF",879,863
"CH2CHF",733,711
"CH3CH2NH2",3483,3345
"CH3CH2NH2",3147,2985
"CH3CH2NH2",3083,2840
"CH3CH2NH2",3065,2860
"CH3CH2NH2",1732,1622
"CH3CH2NH2",1560,1487
"CH3CH2NH2",1543,1465
"CH3CH2NH2",1466,1378
"CH3CH2NH2",1425,1397
"CH3CH2NH2",1200,1016
"CH3CH2NH2",1114,1086
"CH3CH2NH2",952,892
"CH3CH2NH2",909,773
"CH3CH2NH2",413,403
"CH3CH2NH2",3572,3412
"CH3CH2NH2",3148,2924
"CH3CH2NH2",3121,2906
"CH3CH2NH2",1548,1455
"CH3CH2NH2",1428,1238
"CH3CH2NH2",1315,1293
"CH3CH2NH2",1035,1117
"CH3CH2NH2",796,816
"CH3CH2NH2",317,259
"CH3CH2NH2",268,218
"CH3CN",3102,2954
"CH3CN",2391,2267
"CH3CN",1468,1385
"CH3CN",947,920
"CH3CN",3188,3009
"CH3CN",1528,1448
"CH3CN",1093,1041
"CH3CN",364,362
"CH3CHO",3200,3014
"CH3CHO",3079,2923
"CH3CHO",2982,2716
"CH3CHO",1873,1743
"CH3CHO",1520,1433
"CH3CHO",1473,1395
"CH3CHO",1439,1352
"CH3CHO",1166,1114
"CH3CHO",928,867
"CH3CHO",519,509
"CH3CHO",3150,2964
"CH3CHO",1524,1431
"CH3CHO",1171,1102
"CH3CHO",800,764
"CH3CHO",146,150
"CH3CH2SH",3165,2966
"CH3CH2SH",3109,2872
"CH3CH2SH",3085,2872
"CH3CH2SH",2727,2580
"CH3CH2SH",1557,1453
"CH3CH2SH",1549,1453
"CH3CH2SH",1472,1385
"CH3CH2SH",1372,1309
"CH3CH2SH",1153,1097
"CH3CH2SH",1035,978
"CH3CH2SH",899,870
"CH3CH2SH",712,660
"CH3CH2SH",315,332
"CH3CH2SH",3175,2966
"CH3CH2SH",3155,2930
"CH3CH2SH",1546,1453
"CH3CH2SH",1314,1269
"CH3CH2SH",1097,1049
"CH3CH2SH",817,745
"CH2Cl2",3172,2999
"CH2Cl2",1523,1467
"CH2Cl2",750,717
"CH2Cl2",299,282
"CH2Cl2",1241,1153
"CH2Cl2",3247,3040
"CH2Cl2",945,898
"CH2Cl2",1372,1268
"CH2Cl2",821,758
"CH2F2",3118,2948
"CH2F2",1603,1508
"CH2F2",1162,1111
"CH2F2",529,529
"CH2F2",1306,1262
"CH2F2",3190,3014
"CH2F2",1216,1178
"CH2F2",1522,1435
"CH2F2",1184,1090
"HNCO",3726,3538
"HNCO",2385,2269
"HNCO",1364,1327
"HNCO",796,777
"HNCO",564,577
"HNCO",625,656
"CS2",701,658
"CS2",1603,1535
"CS2",410,397
"CH3SCH3",3187,2998
"CH3SCH3",3084,2930
"CH3SCH3",1543,1444
"CH3SCH3",1447,1331
"CH3SCH3",1100,973
"CH3SCH3",734,695
"CH3SCH3",280,282
"CH3SCH3",3173,2952
"CH3SCH3",1515,1420
"CH3SCH3",1005,919
"CH3SCH3",3167,2970
"CH3SCH3",1526,1439
"CH3SCH3",1041,973
"CH3SCH3",189,182
"CH3SCH3",3187,2998
"CH3SCH3",3087,2930
"CH3SCH3",1534,1444
"CH3SCH3",1423,1315
"CH3SCH3",961,903
"CH3SCH3",791,743
"C3H6",3190,3038
"C3H6",1584,1479
"C3H6",1260,1188
"C3H6",1192,1126
"C3H6",1126,1070
"C3H6",3276,3103
"C3H6",882,854
"C3H6",3179,3025
"C3H6",1525,1438
"C3H6",1118,1029
"C3H6",930,866
"C3H6",3258,3082
"C3H6",1252,1188
"C3H6",769,739
"C2H4O",3153,3006
"C2H4O",1597,1467
"C2H4O",1338,1267
"C2H4O",1202,1146
"C2H4O",933,857
"C2H4O",3228,3063
"C2H4O",1211,1050
"C2H4O",1068,1020
"C2H4O",3243,3065
"C2H4O",1194,1146
"C2H4O",841,797
"C2H4O",3144,3006
"C2H4O",1552,1459
"C2H4O",1177,1159
"C2H4O",901,824
"CH2CCl2",3219,3035
"CH2CCl2",1719,1627
"CH2CCl2",1449,1400
"CH2CCl2",625,603
"CH2CCl2",311,299
"CH2CCl2",711,686
"CH2CCl2",907,875
"CH2CCl2",474,460
"CH2CCl2",3315,3130
"CH2CCl2",1151,1095
"CH2CCl2",838,800
"CH2CCl2",386,372
"CH3COCl",3211,3027
"CH3COCl",3102,2948
"CH3COCl",1929,1818
"CH3COCl",1520,1415
"CH3COCl",1451,1368
"CH3COCl",1170,1108
"CH3COCl",1009,956
"CH3COCl",644,604
"CH3COCl",472,445
"CH3COCl",355,348
"CH3COCl",3185,2990
"CH3COCl",1519,1431
"CH3COCl",1086,1032
"CH3COCl",530,518
"CH3COCl",144,166
"CH2CF2",3249,3070
"CH2CF2",1848,1728
"CH2CF2",1445,1360
"CH2CF2",957,926
"CH2CF2",545,550
"CH2CF2",741,714
"CH2CF2",822,803
"CH2CF2",614,611
"CH2CF2",3350,3154
"CH2CF2",1395,1302
"CH2CF2",991,955
"CH2CF2",439,438
"CCl2O",1923,1827
"CCl2O",597,567
"CCl2O",317,285
"CCl2O",600,580
"CCl2O",922,849
"CCl2O",466,440
"CHF3",3206,3036
"CHF3",1185,1117
"CHF3",711,700
"CHF3",1472,1372
"CHF3",1242,1152
"CHF3",511,507
"N(CH3)3",3117,2953
"N(CH3)3",2994,2775
"N(CH3)3",1557,1459
"N(CH3)3",1532,1444
"N(CH3)3",1250,1186
"N(CH3)3",868,828
"N(CH3)3",381,367
"N(CH3)3",3157,2977
"N(CH3)3",1544,1453
"N(CH3)3",1091,1046
"N(CH3)3",254,255
"N(CH3)3",3162,2981
"N(CH3)3",3113,2953
"N(CH3)3",2984,2776
"N(CH3)3",1563,1471
"N(CH3)3",1536,1444
"N(CH3)3",1491,1409
"N(CH3)3",1354,1275
"N(CH3)3",1151,1103
"N(CH3)3",1096,1043
"N(CH3)3",438,424
"N(CH3)3",284,281
"CFCl3",1166,1085
"CFCl3",553,535
"CFCl3",367,350
"CFCl3",910,847
"CFCl3",410,394
"CFCl3",259,241
"CF2Cl2",1184,1101
"CF2Cl2",680,667
"CF2Cl2",468,458
"CF2Cl2",275,262
"CF2Cl2",332,322
"CF2Cl2",977,902
"CF2Cl2",449,437
"CF2Cl2",1256,1159
"CF2Cl2",445,446
"CF3Cl",1181,1105
"CF3Cl",801,781
"CF3Cl",489,476
"CF3Cl",1316,1212
"CF3Cl",565,563
"CF3Cl",356,350
"CF4",932,909
"CF4",437,435
"CF4",1376,1280
"CF4",635,631
"C2F6",1520,1420
"C2F6",826,809
"C2F6",357,349
"C2F6",67,68
"C2F6",1169,1117
"C2F6",716,714
"C2F6",1333,1237
"C2F6",629,620
"C2F6",384,380
"C2F6",1341,1251
"C2F6",524,523
"C2F6",216,216
"C5H8",3277,3095
"C5H8",3266,3095
"C5H8",3199,3000
"C5H8",3185,3000
"C5H8",3177,3000
"C5H8",3167,2984
"C5H8",3073,2904
"C5H8",1766,1638
"C5H8",1710,1607
"C5H8",1555,1464
"C5H8",1505,1420
"C5H8",1479,1389
"C5H8",1458,1363
"C5H8",1373,1313
"C5H8",1358,1303
"C5H8",1117,1072
"C5H8",1035,1012
"C5H8",990,953
"C5H8",809,770
"C5H8",540,530
"C5H8",431,396
"C5H8",286,196
"C5H8",3140,2949
"C5H8",1534,1451
"C5H8",1097,1034
"C5H8",1020,991
"C5H8",928,907
"C5H8",915,907
"C5H8",782,757
"C5H8",644,615
"C5H8",394,290
"C5H8",211,153
"CHOCH(CH3)CH3",3162,2974
"CHOCH(CH3)CH3",3153,2953
"CHOCH(CH3)CH3",3106,2940
"CHOCH(CH3)CH3",3074,2876
"CHOCH(CH3)CH3",2945,2757
"CHOCH(CH3)CH3",1869,1752
"CHOCH(CH3)CH3",1562,1474
"CHOCH(CH3)CH3",1557,1449
"CHOCH(CH3)CH3",1476,1399
"CHOCH(CH3)CH3",1459,1381
"CHOCH(CH3)CH3",1363,1329
"CHOCH(CH3)CH3",1226,1182
"CHOCH(CH3)CH3",1218,1138
"CHOCH(CH3)CH3",964,922
"CHOCH(CH3)CH3",872,800
"CHOCH(CH3)CH3",557,632
"CHOCH(CH3)CH3",362,395
"CHOCH(CH3)CH3",340,272
"CHOCH(CH3)CH3",242,212
"CHOCH(CH3)CH3",3161,2990
"CHOCH(CH3)CH3",3148,2982
"CHOCH(CH3)CH3",3072,2885
"CHOCH(CH3)CH3",1545,1467
"CHOCH(CH3)CH3",1541,1452
"CHOCH(CH3)CH3",1455,1437
"CHOCH(CH3)CH3",1394,1290
"CHOCH(CH3)CH3",1179,1109
"CHOCH(CH3)CH3",1018,965
"CHOCH(CH3)CH3",978,942
"CHOCH(CH3)CH3",956,933
"CHOCH(CH3)CH3",336,351
"CHOCH(CH3)CH3",221,227
"CHOCH(CH3)CH3",60,75
"CH2ClCHClCH3",3210,3022
"CH2ClCHClCH3",3186,3004
"CH2ClCHClCH3",3179,2991
"CH2ClCHClCH3",3150,2970
"CH2ClCHClCH3",3142,2949
"CH2ClCHClCH3",3094,2908
"CH2ClCHClCH3",1550,1462
"CH2ClCHClCH3",1545,1459
"CH2ClCHClCH3",1534,1446
"CH2ClCHClCH3",1475,1391
"CH2ClCHClCH3",1429,1347
"CH2ClCHClCH3",1386,1286
"CH2ClCHClCH3",1324,1238
"CH2ClCHClCH3",1271,1181
"CH2ClCHClCH3",1190,1120
"CH2ClCHClCH3",1139,1076
"CH2ClCHClCH3",1077,1023
"CH2ClCHClCH3",952,890
"CH2ClCHClCH3",910,850
"CH2ClCHClCH3",806,750
"CH2ClCHClCH3",730,685
"CH2ClCHClCH3",426,417
"CH2ClCHClCH3",368,358
"CH2ClCHClCH3",295,285
"CH2ClCHClCH3",263,250
"CH2ClCHClCH3",216,203
"CH2ClCHClCH3",117,108
"CHClCCl2",3278,3082
"CHClCCl2",1712,1586
"CHClCCl2",1332,1247
"CHClCCl2",996,931
"CHClCCl2",884,840
"CHClCCl2",653,630
"CHClCCl2",399,384
"CHClCCl2",287,277
"CHClCCl2",179,178
"CHClCCl2",833,780
"CHClCCl2",479,451
"CHClCCl2",211,215
"CH3COOCH3",3217,3035
"CH3COOCH3",3216,3031
"CH3COOCH3",3104,2966
"CH3COOCH3",3102,2964
"CH3COOCH3",1899,1771
"CH3COOCH3",1551,1460
"CH3COOCH3",1529,1440
"CH3COOCH3",1522,1430
"CH3COOCH3",1458,1375
"CH3COOCH3",1347,1248
"CH3COOCH3",1244,1159
"CH3COOCH3",1129,1060
"CH3COOCH3",1026,980
"CH3COOCH3",892,844
"CH3COOCH3",662,639
"CH3COOCH3",434,429
"CH3COOCH3",295,303
"CH3COOCH3",3189,3005
"CH3COOCH3",3178,2994
"CH3COOCH3",1540,1460
"CH3COOCH3",1527,1430
"CH3COOCH3",1208,1187
"CH3COOCH3",1102,1036
"CH3COOCH3",615,607
"CH3COOCH3",182,187
"CH3COOCH3",159,136
"CH3COOCH3",85,110
"CH3CH2CH2CH3",3151,2965
"CH3CH2CH2CH3",3071,2872
"CH3CH2CH2CH3",3057,2853
"CH3CH2CH2CH3",1558,1460
"CH3CH2CH2CH3",1546,1442
"CH3CH2CH2CH3",1471,1382
"CH3CH2CH2CH3",1452,1361
"CH3CH2CH2CH3",1208,1151
"CH3CH2CH2CH3",1112,1059
"CH3CH2CH2CH3",872,837
"CH3CH2CH2CH3",437,425
"CH3CH2CH2CH3",3149,2968
"CH3CH2CH2CH3",3109,2930
"CH3CH2CH2CH3",1553,1461
"CH3CH2CH2CH3",1330,1257
"CH3CH2CH2CH3",989,948
"CH3CH2CH2CH3",750,731
"CH3CH2CH2CH3",232,194
"CH3CH2CH2CH3",123,102
"CH3CH2CH2CH3",3146,2965
"CH3CH2CH2CH3",3089,2912
"CH3CH2CH2CH3",1552,1460
"CH3CH2CH2CH3",1367,1300
"CH3CH2CH2CH3",1257,1180
"CH3CH2CH2CH3",835,803
"CH3CH2CH2CH3",269,225
"CH3CH2CH2CH3",3151,2968
"CH3CH2CH2CH3",3070,2870
"CH3CH2CH2CH3",3064,2853
"CH3CH2CH2CH3",1567,1461
"CH3CH2CH2CH3",1546,1461
"CH3CH2CH2CH3",1470,1379
"CH3CH2CH2CH3",1363,1290
